#NSGA2
popsize 50
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	50
totalTime	0.0113277
firstFrontCount	10
frontCount	6
avgEvalTime	1.10771e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0.324011	0.271049	0.943859	0.513752	0.500239	0.0319195	0.806972	0.0841648	0.186891	0.112739	0.908576	0.743577	0.44687	0.700238	0.818214	0.941569	0.350772	0.197839	0.227852	0.952879	0.281418	0.549204	0.685488	0.796592	0.759153	0.0691951	0.702035	0.44935	0.286517	0.742279	0.324011	4.31826	
0.469047	0.517337	0.974572	0.208093	0.47122	0.127746	0.163628	0.178926	0.284277	0.398405	0.227881	0.87965	0.449734	0.0705203	0.0398701	0.978922	0.64529	0.724778	0.567963	0.128822	0.370007	0.695312	0.616618	0.893041	0.13613	0.831036	0.687732	0.579507	0.597269	0.334413	0.469047	3.70301	
0.816086	0.81193	0.409864	0.391174	0.292479	0.17341	0.18819	0.298368	0.401314	0.671584	0.914479	0.656594	0.721	0.31206	0.753087	0.995631	0.717247	0.738755	0.254283	0.29074	0.00341038	0.639967	0.589796	0.545858	0.531799	0.052336	0.905486	0.353646	0.298758	0.746653	0.816086	3.42149	
0.899064	0.291695	0.637055	0.693934	0.653111	0.752277	0.405772	0.127666	0.591409	0.0581041	0.130258	0.362762	0.154281	0.223565	0.617328	0.665341	0.249683	0.143012	0.0522916	0.328643	0.794548	0.918634	0.650317	0.515483	0.00657557	0.441295	0.462271	0.950607	0.928209	0.73744	0.899064	3.04031	
0.842074	0.270649	0.978845	0.493851	0.686561	0.650314	0.0197451	0.75005	0.125718	0.973583	0.510422	0.0234836	0.41366	0.199918	0.867555	0.801373	0.55906	0.976312	0.145096	0.584058	0.706052	0.591103	0.454301	0.156498	0.0239684	0.376544	0.47635	0.257584	0.0862763	0.74367	0.842074	3.19911	
0.00393456	0.847323	0.404393	0.170006	0.979879	0.71155	0.368077	0.669119	0.652484	0.116947	0.100491	0.669492	0.838558	0.840281	0.363731	0.596824	0.710338	0.54667	0.299282	0.63022	0.698869	0.892647	0.909176	0.529441	0.484556	0.0775976	0.513905	0.139113	0.416473	0.088141	0.00393456	5.58735	
0.842222	0.471646	0.00640261	0.314435	0.630205	0.490982	0.665092	0.708493	0.930952	0.535391	0.790339	0.562593	0.418698	0.25429	0.6733	0.777907	0.229027	0.382546	0.360475	0.248671	0.250633	0.827567	0.0843612	0.137657	0.576517	0.0966117	0.174321	0.426167	0.882837	0.59352	0.842222	3.0994	
0.646441	0.895319	0.314986	0.16251	0.122949	0.573257	0.163705	0.396075	0.197986	0.894254	0.294103	0.451907	0.0364033	0.852973	0.75548	0.71152	0.452387	0.569239	0.72347	0.05354	0.339482	0.256776	0.153449	0.413973	0.745654	0.337955	0.993814	0.971702	0.313917	0.0984059	0.646441	3.29348	
0.185771	0.010482	0.319582	0.319077	0.123115	0.71199	0.881587	0.881292	0.633245	0.573611	0.807331	0.046854	0.964352	0.861704	0.371466	0.526504	0.703152	0.248706	0.562782	0.646147	0.573673	0.806309	0.879401	0.927211	0.132467	0.292449	0.647028	0.838091	0.949519	0.336839	0.185771	5.07589	
0.882774	0.273889	0.723623	0.386811	0.156109	0.312261	0.701333	0.325312	0.583836	0.812064	0.856956	0.316423	0.00616436	0.253859	0.0998638	0.382198	0.201844	0.669295	0.396539	0.117324	0.552952	0.904303	0.738516	0.339841	0.186752	0.158326	0.933215	0.0350879	0.251661	0.129022	0.882774	2.63469	
0.832614	0.451158	0.289171	0.222034	0.675509	0.674675	0.625404	0.0637553	0.520127	0.558762	0.70039	0.182539	0.0180891	0.317899	0.206219	0.0174165	0.0278936	0.853412	0.385177	0.672369	0.236212	0.390286	0.00103303	0.319798	0.734961	0.0536617	0.958819	0.163764	0.608354	4.64536e-05	0.832614	2.47951	
0.210998	0.63084	0.106196	0.433588	0.348915	0.318914	0.227	0.0103001	0.0469591	0.648156	0.900541	0.163358	0.584538	0.518246	0.285818	0.700769	0.453187	0.792476	0.556919	0.818945	0.959269	0.232527	0.615453	0.057313	0.755891	0.823072	0.186491	0.0434752	0.777383	0.334336	0.210998	4.09605	
0.686029	0.950781	0.83047	0.523477	0.468648	0.723642	0.451374	0.737627	0.011194	0.824869	0.410135	0.795712	0.191425	0.958152	0.125317	0.573724	0.179057	0.878675	0.576478	0.965308	0.683577	0.398712	0.841555	0.437013	0.861208	0.803484	0.796457	0.187979	0.661143	0.234434	0.686029	4.22206	
0.602461	0.122983	0.926878	0.281833	0.301764	0.813814	0.658996	0.645254	0.263726	0.471661	0.32473	0.263545	0.850021	0.402808	0.215824	0.135817	0.309478	0.316271	0.750077	0.0786085	0.508686	0.484347	0.658625	0.678858	0.0855373	0.343488	0.0763032	0.679602	0.863966	0.41448	0.602461	3.27443	
0.806322	0.167714	0.818973	0.782739	0.964064	0.775592	0.242582	0.158379	0.450791	0.668	0.40617	0.374327	0.877215	0.544733	0.638717	0.611719	0.912135	0.655342	0.516441	0.429281	0.986193	0.783142	0.413314	0.688465	0.798534	0.777009	0.152014	0.67431	0.963932	0.2847	0.806322	4.15809	
0.959944	0.359129	0.120414	0.856796	0.643098	0.653367	0.923163	0.187833	0.167366	0.767683	0.210317	0.0658908	0.49872	0.139512	0.768763	0.686032	0.530863	0.788099	0.417894	0.512464	0.000951217	0.278495	0.891236	0.833757	0.562553	0.75745	0.202447	0.649179	0.300362	0.508536	0.959944	3.14885	
0.0937735	0.491733	0.830231	0.763388	0.88229	0.368676	0.17979	0.408438	0.748872	0.0922151	0.939363	0.900333	0.443141	0.653112	0.90141	0.962332	0.645408	0.715791	0.755216	0.137291	0.525724	0.338501	0.847424	0.701462	0.229846	0.426677	0.835623	0.505517	0.728989	0.59174	0.0937735	5.6692	
0.860551	0.587408	0.761654	0.0827759	0.419707	0.358104	0.143682	0.708444	0.0581367	0.203803	0.258794	0.854782	0.0218038	0.102916	0.962193	0.585737	0.81929	0.534882	0.837076	0.403768	0.842284	0.912108	0.546451	0.873485	0.163171	0.0423641	0.00333672	0.185391	0.831455	0.227298	0.860551	3.03495	
0.751244	0.259752	0.381204	0.0457254	0.515451	0.689061	0.987442	0.778164	0.581375	0.520751	0.166511	0.33608	0.536288	0.563035	0.827109	0.59612	0.213404	0.784622	0.335894	0.980447	0.493026	0.352448	0.198154	0.106796	0.0927374	0.249912	0.228057	0.089852	0.412873	0.632072	0.751244	3.07829	
0.317538	0.222789	0.997138	0.959305	0.160837	0.302781	0.739312	0.578335	0.73025	0.937502	0.768671	0.652661	0.0136044	0.270512	0.0429393	0.211906	0.822252	0.634195	0.310914	0.32699	0.56253	0.08758	0.968468	0.671888	0.643112	0.39632	0.0339347	0.00389967	0.20325	0.00904479	0.317538	3.8415	
0.94556	0.217979	0.264673	0.931611	0.864203	0.428131	0.435985	0.914232	0.0733445	0.371338	0.859115	0.804104	0.737583	0.696096	0.426766	0.897025	0.926511	0.404259	0.248045	0.286385	0.988246	0.144939	0.160744	0.133019	0.351994	0.305892	0.158622	0.038555	0.95698	0.852312	0.94556	3.31281	
0.557696	0.754209	0.482749	0.0338665	0.948437	0.345318	0.842314	0.34021	0.7438	0.269243	0.578253	0.746702	0.748684	0.398653	0.0699671	0.563638	0.978434	0.631268	0.964726	0.225314	0.991088	0.100885	0.193344	0.385558	0.597873	0.981176	0.919806	0.499896	0.0668532	0.4016	0.557696	4.08999	
0.361506	0.446434	0.962845	0.216817	0.908723	0.524065	0.218612	0.865596	0.201506	0.606425	0.690532	0.848762	0.673523	0.791378	0.171472	0.806624	0.364683	0.540425	0.410863	0.758569	0.55984	0.291357	0.459189	0.894278	0.341605	0.318297	0.170911	0.703106	0.660048	0.197468	0.361506	4.38929	
0.496825	0.928849	0.353135	0.590796	0.0771793	0.690855	0.718816	0.947657	0.432176	0.391075	0.315563	0.511913	0.239173	0.932714	0.0379954	0.417616	0.263338	0.693605	0.977206	0.540217	0.584618	0.0282588	0.44018	0.470503	0.87269	0.746205	0.971655	0.624337	0.775238	0.491101	0.496825	4.26112	
0.627481	0.424653	0.292167	0.161074	0.644835	0.993148	0.0139741	0.648393	0.106996	0.144931	0.555647	0.841417	0.823771	0.702204	0.0548019	0.273738	0.22436	0.729648	0.227178	0.62105	0.337554	0.121337	0.7785	0.520682	0.195148	0.256939	0.602082	0.491879	0.394025	0.129275	0.627481	3.08154	
0.173694	0.34862	0.129905	0.893398	0.912351	0.386103	0.667337	0.484438	0.863756	0.460396	0.748178	0.311842	0.796797	0.883365	0.98131	0.618601	0.698059	0.712791	0.358365	0.985809	0.132532	0.746123	0.210705	0.357131	0.742879	0.943532	0.44042	0.422164	0.766586	0.193739	0.173694	5.28792	
0.744851	0.541396	0.853943	0.372875	0.00659788	0.506664	0.273927	0.886845	0.54335	0.63549	0.0971452	0.0760048	0.226622	0.728462	0.19606	0.625844	0.0624395	0.713283	0.0200187	0.917987	0.749478	0.947878	0.31818	0.868747	0.913123	0.0964994	0.810948	0.663727	0.842029	0.246576	0.744851	3.53734	
0.782293	0.158866	0.119758	0.245687	0.237056	0.609429	0.208916	0.978176	0.967853	0.228726	0.719092	0.330134	0.233217	0.630737	0.337865	0.393143	0.711504	0.687753	0.401521	0.263433	0.100341	0.623772	0.701681	0.542058	0.177988	0.999797	0.799338	0.465587	0.00413689	0.982424	0.782293	3.2649	
0.161124	0.553607	0.113849	0.155234	0.145552	0.365715	0.850473	0.805091	0.904863	0.72009	0.683564	0.847382	0.0416838	0.916834	0.181587	0.688667	0.263634	0.133817	0.720868	0.494744	0.086555	0.633402	0.791035	0.794068	0.272789	0.330006	0.707721	0.00412012	0.702836	0.228977	0.161124	4.45616	
0.112889	0.921496	0.866083	0.804957	0.215646	0.0619935	0.918604	0.487622	0.433356	0.175774	0.347564	0.525794	0.695888	0.401017	0.223417	0.835593	0.704926	0.375201	0.544691	0.291777	0.997344	0.384931	0.245365	0.152912	0.0763801	0.724443	0.095232	0.353183	0.163202	0.69247	0.112889	4.4866	
0.32577	0.965217	0.917248	0.0752773	0.609723	0.524346	0.826152	0.280841	0.703458	0.838169	0.214652	0.14177	0.782825	0.147923	0.033969	0.936648	0.889215	0.614592	0.257872	0.255082	0.491905	0.507395	0.112647	0.533703	0.363092	0.584949	0.86229	0.0917356	0.62415	0.689336	0.32577	4.26406	
0.956036	0.993121	0.336276	0.415599	0.690928	0.2576	0.110018	0.618818	0.581453	0.491156	0.897626	0.0619519	0.422172	0.692312	0.0301746	0.313923	0.1689	0.742429	0.95189	0.3843	0.708916	0.652178	0.0452398	0.102325	0.760829	0.706826	0.880458	0.794274	0.163853	0.455443	0.956036	3.18998	
0.322877	0.897753	0.321495	0.0521965	0.827279	0.812979	0.913043	0.951787	0.0354703	0.64783	0.0119357	0.0794557	0.35931	0.274159	0.650445	0.280206	0.104087	0.739678	0.702739	0.726623	0.917708	0.675952	0.0730292	0.0552299	0.790843	0.343321	0.066846	0.48967	0.836876	0.37887	0.322877	4.03574	
0.329943	0.0588804	0.319561	0.773521	0.889935	0.909228	0.018339	0.306253	0.707788	0.864192	0.664027	0.0209427	0.0612433	0.472997	0.0175016	0.514408	0.48955	0.863003	0.614662	0.644542	0.315418	0.473516	0.00785352	0.248389	0.744913	0.765596	0.731803	0.25214	0.215164	0.46536	0.329943	3.86233	
0.229125	0.972854	0.340497	0.7716	0.676411	0.38754	0.87524	0.398311	0.809271	0.980213	0.179692	0.823077	0.567137	0.691641	0.360287	0.494358	0.698579	0.624579	0.0693023	0.275223	0.460972	0.0938204	0.810452	0.349218	0.735744	0.751968	0.547452	0.36673	0.487122	0.606064	0.229125	4.8539	
0.31035	0.507495	0.253854	0.04563	0.450101	0.987918	0.727144	0.766719	0.546485	0.929399	0.670201	0.66159	0.477734	0.279371	0.631748	0.616326	0.492977	0.349519	0.94488	0.0830488	0.0630725	0.0958626	0.400474	0.510029	0.639736	0.680967	0.337897	0.0828118	0.990692	0.86793	0.31035	4.35548	
0.0798842	0.666072	0.639363	0.400951	0.264291	0.72102	0.933448	0.189088	0.280035	0.459886	0.382597	0.318966	0.895783	0.755916	0.643726	0.243702	0.811797	0.898352	0.0701041	0.918991	0.968641	0.0952947	0.146154	0.873555	0.905181	0.102942	0.908585	0.745307	0.243258	0.289633	0.0798842	5.20872	
0.714149	0.697056	0.579597	0.125236	0.511483	0.192301	0.16798	0.0648634	0.182718	0.198642	0.0839447	0.0932819	0.692651	0.124046	0.394823	0.0203472	0.147776	0.407915	0.539426	0.258497	0.846643	0.854096	0.549516	0.441342	0.0442692	0.749622	0.27968	0.95378	0.69492	0.537963	0.714149	2.74628	
0.261831	0.792889	0.88539	0.15446	0.861295	0.734732	0.888302	0.308535	0.947856	0.924205	0.949579	0.651025	0.687706	0.922782	0.333246	0.357451	0.686077	0.50751	0.954777	0.31017	0.203282	0.763382	0.0981375	0.0290802	0.390936	0.165368	0.91748	0.815963	0.0858998	0.128815	0.261831	4.84261	
0.480125	0.8852	0.640002	0.190897	0.28274	0.950239	0.211982	0.739342	0.053953	0.801766	0.212148	0.215074	0.984824	0.607983	0.0427346	0.2567	0.404252	0.545322	0.661001	0.342113	0.746088	0.914076	0.911536	0.749923	0.328916	0.104143	0.840399	0.0381169	0.323189	0.123246	0.480125	3.77137	



